cake,Local,Supermarket,Online
1,21.24922222222231,14.469222222222223,19.109222222222353
2,21.183166666666928,11.283166666666666,17.033166666666816
3,21.750666666666675,14.500666666666666,16.84066666666675
4,20.03583333333348,12.08583333333333,15.205833333333322
5,24.051000000000148,19.0,19.721
6,19.976000000000155,12.155999999999988,16.515999999999984
7,21.635666666666822,9.935666666666656,15.97566666666665
8,18.636955555555637,12.916955555555555,16.02695555555555
9,19.86934444444457,13.649344444444427,17.489344444444576
10,20.3546666666667,12.954666666666666,17.074666666666715
