combo_id,status,profit,prices
0,Optimal,4027.122066666669,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 4.96, ""2-Online"": 5.16}"
1,Optimal,4277.8554,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 4.96, ""2-Online"": 9.04}"
2,Optimal,4428.4514,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 4.96, ""2-Online"": 12.92}"
3,Optimal,4439.2387333333345,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 4.96, ""2-Online"": 16.79}"
4,Optimal,4295.386066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 4.96, ""2-Online"": 20.67}"
5,Optimal,4027.122066666669,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 4.96, ""2-Online"": 24.55}"
6,Optimal,4130.575400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 6.8, ""2-Online"": 5.16}"
7,Optimal,4384.9474,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 6.8, ""2-Online"": 9.04}"
8,Optimal,4531.904733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 6.8, ""2-Online"": 12.92}"
9,Optimal,4544.490733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 6.8, ""2-Online"": 16.79}"
10,Optimal,4402.4780666666675,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 6.8, ""2-Online"": 20.67}"
11,Optimal,4130.575400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 6.8, ""2-Online"": 24.55}"
12,Optimal,4207.202733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 8.63, ""2-Online"": 5.16}"
13,Optimal,4461.574733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 8.63, ""2-Online"": 9.04}"
14,Optimal,4612.170733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 8.63, ""2-Online"": 12.92}"
15,Optimal,4622.958066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 8.63, ""2-Online"": 16.79}"
