cake,channel,price,demand_cap,produced_y,sold_s
1,Local,21.2,28.134800000000006,28,28
1,Supermarket,13.6,23.0214,23,23
1,Online,18.05,27.03564999999999,27,27
2,Local,20.8,32.02612,32,32
2,Supermarket,11.05,32.222819999999984,32,32
2,Online,16.2,40.0261,40,40
3,Local,21.75,18.011400000000002,18,18
3,Supermarket,14.4,10.015159999999995,10,10
3,Online,17.1,14.14555,14,14
4,Local,21.6,24.041079999999994,24,24
4,Supermarket,12.2,29.04838000000001,29,29
4,Online,16.15,27.136960000000002,27,27
5,Local,25.5,12.037299999999988,12,12
5,Supermarket,12.8,9.717520000000007,0,0
5,Online,18.4,9.957040000000006,0,0
6,Local,23.15,17.015679999999996,17,17
6,Supermarket,13.15,8.005785000000003,8,8
6,Online,17.8,15.050420000000003,15,15
7,Local,21.65,20.01258,20,20
7,Supermarket,10.2,22.067700000000002,22,22
7,Online,15.3,22.016579999999998,22,22
8,Local,19.5,22.05185,22,22
8,Supermarket,13.05,18.0338,18,18
8,Online,15.2,20.083960000000005,20,20
9,Local,20.4,18.03116,18,18
9,Supermarket,12.65,20.14390499999999,20,20
9,Online,16.5,22.005799999999994,22,22
10,Local,20.35,17.027299999999997,17,17
10,Supermarket,12.75,11.006374999999991,11,11
10,Online,17.65,20.00558000000001,20,20
