cake,channel,price,demand_cap,produced_y,sold_s
1,Local,20.14,31.027009999999997,31,31
1,Supermarket,12.14,36.02780999999999,30,30
1,Online,17.529999999999998,29.015290000000007,29,29
2,Local,18.509999999999998,38.011264000000004,38,38
2,Supermarket,9.540000000000001,48.03493599999999,48,48
2,Online,14.11,50.046605,50,50
3,Local,22.31,17.008328000000006,17,17
3,Supermarket,12.13,24.057607000000004,0,0
3,Online,15.63,19.025215000000003,19,19
4,Local,21.09,25.010692,25,25
4,Supermarket,10.1,48.036789999999996,40,40
4,Online,15.2,31.04108,31,31
5,Local,21.88,22.004607999999998,16,16
5,Supermarket,19.0,0.0,0,0
5,Online,19.17,6.024726999999984,0,0
6,Local,20.700000000000003,21.01603999999999,21,21
6,Supermarket,12.01,16.038339000000008,4,4
6,Online,17.81,15.019559000000008,15,15
7,Local,20.98,21.000695999999998,21,21
7,Supermarket,11.02,16.06407,16,16
7,Online,16.31,19.025565999999998,19,19
8,Local,21.270000000000003,18.009700999999993,18,18
8,Supermarket,13.87,12.06092000000001,11,11
8,Online,17.11,13.007028000000005,13,13
9,Local,23.11,13.011969,13,13
9,Supermarket,13.65,12.001604999999998,12,12
9,Online,17.740000000000002,17.034887999999995,17,17
10,Local,20.36,17.005879999999998,17,17
10,Supermarket,13.15,8.02257499999999,6,6
10,Online,18.5,17.011200000000002,17,17
